Vraw= -22.872 mV | Vcorr=  -0.218 mV | G2 (105.0) | Idx: 271
Vraw= -18.731 mV | Vcorr=  -0.178 mV | G2 (105.0) | Idx: 272
Vraw= -19.601 mV | Vcorr=  -0.187 mV | G2 (105.0) | Idx: 273
Vraw= -23.202 mV | Vcorr=  -0.221 mV | G2 (105.0) | Idx: 274
Vraw= -21.052 mV | Vcorr=  -0.200 mV | G2 (105.0) | Idx: 275
Vraw= -22.112 mV | Vcorr=  -0.211 mV | G2 (105.0) | Idx: 276
Vraw= -28.613 mV | Vcorr=  -0.273 mV | G2 (105.0) | Idx: 277
Vraw= -27.934 mV | Vcorr=  -0.266 mV | G2 (105.0) | Idx: 278
Vraw= -31.439 mV | Vcorr=  -0.299 mV | G2 (105.0) | Idx: 279
Vraw= -33.378 mV | Vcorr=  -0.318 mV | G2 (105.0) | Idx: 280
Vraw= -22.713 mV | Vcorr=  -0.216 mV | G2 (105.0) | Idx: 281
Vraw= -23.023 mV | Vcorr=  -0.219 mV | G2 (105.0) | Idx: 282
Vraw= -24.158 mV | Vcorr=  -0.230 mV | G2 (105.0) | Idx: 283
Vraw= -25.260 mV | Vcorr=  -0.241 mV | G2 (105.0) | Idx: 284
Vraw= -23.180 mV | Vcorr=  -0.221 mV | G2 (105.0) | Idx: 285
Vraw= -19.663 mV | Vcorr=  -0.187 mV | G2 (105.0) | Idx: 286
Vraw= -12.996 mV | Vcorr=  -0.124 mV | G2 (105.0) | Idx: 287
Vraw= -11.007 mV | Vcorr=  -0.105 mV | G2 (105.0) | Idx: 288
Vraw= -10.055 mV | Vcorr=  -0.096 mV | G2 (105.0) | Idx: 289
Vraw= -17.184 mV | Vcorr=  -0.164 mV | G2 (105.0) | Idx: 290
Vraw= -27.992 mV | Vcorr=  -0.267 mV | G2 (105.0) | Idx: 291
Vraw= -21.371 mV | Vcorr=  -0.204 mV | G2 (105.0) | Idx: 292
Vraw= -20.679 mV | Vcorr=  -0.197 mV | G2 (105.0) | Idx: 293
Vraw= -24.355 mV | Vcorr=  -0.232 mV | G2 (105.0) | Idx: 294
Vraw= -26.605 mV | Vcorr=  -0.253 mV | G2 (105.0) | Idx: 295
Vraw= -26.278 mV | Vcorr=  -0.250 mV | G2 (105.0) | Idx: 296
Vraw= -18.457 mV | Vcorr=  -0.176 mV | G2 (105.0) | Idx: 297
Vraw= -19.692 mV | Vcorr=  -0.188 mV | G2 (105.0) | Idx: 298
Vraw= -15.376 mV | Vcorr=  -0.146 mV | G2 (105.0) | Idx: 299
Vraw= -10.403 mV | Vcorr=  -0.099 mV | G2 (105.0) | Idx: 300
Vraw= -16.047 mV | Vcorr=  -0.153 mV | G2 (105.0) | Idx: 301
Vraw= -13.441 mV | Vcorr=  -0.128 mV | G2 (105.0) | Idx: 302
Vraw= -14.043 mV | Vcorr=  -0.134 mV | G2 (105.0) | Idx: 303
Vraw=  -8.958 mV | Vcorr=  -0.085 mV | G2 (105.0) | Idx: 304
Vraw= -10.624 mV | Vcorr=  -0.101 mV | G2 (105.0) | Idx: 305
Vraw= -16.068 mV | Vcorr=  -0.153 mV | G2 (105.0) | Idx: 306
Vraw= -15.601 mV | Vcorr=  -0.149 mV | G2 (105.0) | Idx: 307
Vraw= -19.842 mV | Vcorr=  -0.189 mV | G2 (105.0) | Idx: 308
Vraw= -13.503 mV | Vcorr=  -0.129 mV | G2 (105.0) | Idx: 309
Vraw=  -6.879 mV | Vcorr=  -0.066 mV | G2 (105.0) | Idx: 310
Vraw=  +0.284 mV | Vcorr=  +0.003 mV | G2 (105.0) | Idx: 311
Vraw=  -7.441 mV | Vcorr=  -0.071 mV | G2 (105.0) | Idx: 312
Vraw=  -2.553 mV | Vcorr=  -0.024 mV | G2 (105.0) | Idx: 313
Vraw=  -4.682 mV | Vcorr=  -0.045 mV | G2 (105.0) | Idx: 314
Vraw=  -2.012 mV | Vcorr=  -0.019 mV | G2 (105.0) | Idx: 315
Vraw=  -4.665 mV | Vcorr=  -0.044 mV | G2 (105.0) | Idx: 316
Vraw=  +0.906 mV | Vcorr=  +0.009 mV | G2 (105.0) | Idx: 317
Vraw=  -2.929 mV | Vcorr=  -0.028 mV | G2 (105.0) | Idx: 318
Vraw=  -4.738 mV | Vcorr=  -0.045 mV | G2 (105.0) | Idx: 319
Vraw=  -0.128 mV | Vcorr=  -0.001 mV | G2 (105.0) | Idx: 320
Vraw=  -7.043 mV | Vcorr=  -0.067 mV | G2 (105.0) | Idx: 321
